auc1,auc2,gap,center2,tau_r,recovered,recovered_within_window,t_return,functional_time,x_max
0.5,1.0,12,22,1.9795918367346939,True,True,28.950000000000003,21.049999999999997,0.3115459982897142
0.5,1.0,12,22,2.4693877551020407,True,True,30.25,19.75,0.36307172944000815
0.5,1.0,12,22,2.9591836734693877,True,True,31.6,18.4,0.4087560505851043
0.5,1.0,12,22,3.4489795918367347,True,True,33.0,17.0,0.45004465021672535
0.5,1.0,12,22,3.9387755102040813,True,True,34.4,15.600000000000001,0.48786351401437417
0.5,1.0,12,22,4.428571428571429,True,True,35.9,14.100000000000001,0.5228340590208465
0.5,1.0,12,22,4.918367346938775,True,True,37.4,12.600000000000001,0.5553743704151968
0.5,1.0,12,22,5.408163265306122,True,True,38.900000000000006,11.099999999999994,0.5858114052508504
0.5,1.0,12,22,5.8979591836734695,True,True,40.400000000000006,9.599999999999994,0.6143494119021425
0.5,1.0,12,22,6.387755102040816,True,True,41.95,8.049999999999997,0.6412065884769824
0.5,1.0,12,22,6.877551020408163,True,True,43.5,6.5,0.6665051557383478
0.5,1.0,12,22,7.36734693877551,True,True,45.050000000000004,4.949999999999996,0.690382432119414
0.5,1.0,12,22,7.857142857142857,True,True,46.650000000000006,3.3499999999999943,0.7129556056433223
0.5,1.0,12,22,8.346938775510203,True,True,48.2,1.7999999999999972,0.7343255687759064
0.5,1.0,12,22,8.83673469387755,True,True,49.800000000000004,0.19999999999999574,0.7545820109041254
0.5,1.0,12,22,9.326530612244898,True,False,51.400000000000006,-1.4000000000000057,0.7738041261747207
0.5,1.0,12,22,9.816326530612244,True,False,53.0,-3.0,0.7920637827133905
0.5,1.0,12,22,10.306122448979592,True,False,54.6,-4.600000000000001,0.8094255168973087
0.5,1.0,12,22,10.795918367346939,True,False,56.2,-6.200000000000003,0.8259642673196934
0.5,1.0,12,22,11.285714285714285,True,False,57.800000000000004,-7.800000000000004,0.8417360624091289
0.5,1.0,12,22,11.775510204081632,True,False,59.400000000000006,-9.400000000000006,0.8567738649719807
0.5,1.0,12,22,12.26530612244898,True,False,61.050000000000004,-11.050000000000004,0.8711239510568504
0.5,1.0,12,22,12.755102040816325,True,False,62.650000000000006,-12.650000000000006,0.884867350652595
0.5,1.0,12,22,13.244897959183673,True,False,64.3,-14.299999999999997,0.8980012553330186
0.5,1.0,12,22,13.73469387755102,True,False,65.9,-15.900000000000006,0.9105759696167957
0.5,1.0,12,22,14.224489795918368,True,False,67.55,-17.549999999999997,0.9226413087652205
0.5,1.0,12,22,14.714285714285714,True,False,69.2,-19.200000000000003,0.9341934523019386
0.5,1.0,12,22,15.204081632653061,True,False,70.8,-20.799999999999997,0.9453096658760757
0.5,1.0,12,22,15.693877551020408,True,False,72.45,-22.450000000000003,0.9559685091821546
0.5,1.0,12,22,16.183673469387756,True,False,74.10000000000001,-24.10000000000001,0.9662329031264865
0.5,1.0,12,22,16.6734693877551,True,False,75.75,-25.75,0.9760949061806106
0.5,1.0,12,22,17.163265306122447,True,False,77.35000000000001,-27.35000000000001,0.9856038918088881
0.5,1.0,12,22,17.653061224489797,True,False,79.0,-29.0,0.9947514444123363
0.5,1.0,12,22,18.142857142857142,False,False,,-inf,1.003587560435668
