sigma,tau_r,recovery_probability,mean_t_return,mean_functional_time,std_functional_time,mean_x_max,tau_sigma_ratio
2.8469387755102042,2.9591836734693877,1.0,19.738333333333333,30.261666666666667,1.0590890143089415,0.3318935284875251,1.0394265232974909
2.8469387755102042,3.4489795918367347,1.0,21.061666666666667,28.938333333333333,1.1631321665148848,0.3669324601889709,1.211469534050179
2.8469387755102042,3.9387755102040813,1.0,22.341666666666665,27.658333333333335,1.3047052338081726,0.3986182672865392,1.3835125448028671
2.8469387755102042,4.428571428571429,1.0,23.37166666666667,26.62833333333333,1.484789740910356,0.4270354020218924,1.5555555555555556
2.8469387755102042,4.918367346938775,1.0,24.468333333333337,25.531666666666663,2.088205108391569,0.45258925141295003,1.7275985663082436
2.8469387755102042,5.408163265306122,1.0,25.838333333333335,24.161666666666665,2.3221082622498885,0.47571305556751575,1.8996415770609316
2.8469387755102042,5.8979591836734695,1.0,27.240000000000002,22.759999999999998,3.419830606815247,0.4969126766229355,2.07168458781362
2.8469387755102042,6.387755102040816,1.0,27.96,22.04,3.463663597585853,0.5166918046110607,2.243727598566308
2.8469387755102042,6.877551020408163,1.0,28.765,21.235,3.218779753796193,0.5351757976103815,2.415770609318996
2.8469387755102042,7.36734693877551,1.0,30.343333333333337,19.656666666666663,3.996264059941687,0.5523384432038269,2.5878136200716844
2.8469387755102042,7.857142857142857,1.0,31.716666666666665,18.283333333333335,4.383478647999925,0.5683228312803495,2.7598566308243724
2.8469387755102042,8.346938775510203,1.0,32.935,17.064999999999998,4.457367980136352,0.5832317610086608,2.9318996415770604
2.8469387755102042,8.83673469387755,1.0,34.08166666666667,15.918333333333331,4.391871082943511,0.5971677323359231,3.103942652329749
2.8469387755102042,9.326530612244898,1.0,36.09333333333334,13.906666666666665,4.522410353152273,0.6102730179459919,3.2759856630824373
2.8469387755102042,9.816326530612244,0.9666666666666667,37.69166666666667,12.308333333333332,5.803522760942841,0.6224914910107666,3.448028673835125
