sigma,tau_r,trial,noise_strength,recovered,recovered_within_window,t_return,functional_time,x_max,tau_sigma_ratio,sigma_tau_ratio
0.5,3.4489795918367347,24,0.02,True,True,18.05,31.95,0.7381075244116895,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,25,0.02,True,True,24.150000000000002,25.849999999999998,0.7550283169929564,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,26,0.02,True,True,19.8,30.2,0.7808576261735583,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,27,0.02,True,True,18.35,31.65,0.7520418134766801,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,28,0.02,True,True,18.7,31.3,0.7307382210955783,6.8979591836734695,0.14497041420118342
0.5,3.4489795918367347,29,0.02,True,True,21.1,28.9,0.735377854033381,6.8979591836734695,0.14497041420118342
0.5,3.9387755102040813,0,0.02,True,True,19.150000000000002,30.849999999999998,0.7921805447054107,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,1,0.02,True,True,21.0,29.0,0.8052790642654,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,2,0.02,True,True,22.900000000000002,27.099999999999998,0.7928497439783294,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,3,0.02,True,True,19.650000000000002,30.349999999999998,0.7934965876115343,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,4,0.02,True,True,24.1,25.9,0.7812524730936491,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,5,0.02,True,True,22.950000000000003,27.049999999999997,0.7778382199713366,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,6,0.02,True,True,21.55,28.45,0.7888789307517537,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,7,0.02,True,True,19.3,30.7,0.7609557379049067,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,8,0.02,True,True,21.900000000000002,28.099999999999998,0.7866561506958921,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,9,0.02,True,True,21.5,28.5,0.7880268955923411,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,10,0.02,True,True,22.3,27.7,0.7769726306342538,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,11,0.02,True,True,20.900000000000002,29.099999999999998,0.7532386173483532,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,12,0.02,True,True,21.450000000000003,28.549999999999997,0.7361746673474868,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,13,0.02,True,True,22.05,27.95,0.7610781602348452,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,14,0.02,True,True,20.150000000000002,29.849999999999998,0.7536081422516285,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,15,0.02,True,True,19.900000000000002,30.099999999999998,0.7764165808642376,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,16,0.02,True,True,20.200000000000003,29.799999999999997,0.821498140893661,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,17,0.02,True,True,21.5,28.5,0.7916479321645074,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,18,0.02,True,True,20.5,29.5,0.8032135403538496,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,19,0.02,True,True,20.35,29.65,0.7807838054540317,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,20,0.02,True,True,21.35,28.65,0.7953566913522047,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,21,0.02,True,True,23.1,26.9,0.7975559475112501,7.877551020408163,0.12694300518134716
0.5,3.9387755102040813,22,0.02,True,True,22.950000000000003,27.049999999999997,0.8189484187387047,7.877551020408163,0.12694300518134716
